Date,Close,High,Low,Open,Volume
2024-04-05,67837.64063,68725.75781,66011.47656,68515.75781,33748230056
2024-04-06,68896.10938,69629.60156,67491.71875,67840.57031,19967785809
2024-04-07,69362.55469,70284.42969,68851.63281,68897.10938,21204930369
2024-04-08,71631.35938,72715.35938,69064.24219,69362.55469,37261432669
2024-04-09,69139.01563,71742.50781,68212.92188,71632.5,36426900409
2024-04-10,70587.88281,71093.42969,67503.5625,69140.24219,38318601774
2024-04-11,70060.60938,71256.23438,69571.8125,70575.73438,30153382941
2024-04-12,67195.86719,71222.74219,65254.83594,70061.38281,44129299406
2024-04-13,63821.47266,67931.42969,60919.10547,67188.375,52869738185
2024-04-14,65738.72656,65824.42969,62205.85156,63836.23047,49084320047
2024-04-15,63426.21094,66878.64844,62332.07031,65739.64844,43595917654
2024-04-16,63811.86328,64355.66797,61716.40234,63419.29688,42847528078
2024-04-17,61276.69141,64486.36328,59768.58594,63831.84766,41915247049
2024-04-18,63512.75391,64125.6875,60833.48047,61275.31641,36006307335
2024-04-19,63843.57031,65481.59766,59651.39063,63510.75,49920425401
2024-04-20,64994.44141,65442.45703,63172.40234,63851.10156,23097485495
2024-04-21,64926.64453,65723.24219,64277.72266,64992.81641,20506644853
2024-04-22,66837.67969,67233.96094,64548.17969,64935.63281,28282686673
2024-04-23,66407.27344,67199.24219,65864.86719,66839.89063,24310975583
2024-04-24,64276.89844,67075.36719,63589.87109,66408.71875,30276655120
2024-04-25,64481.70703,65275.20703,62783.63281,64275.01953,32155786816
2024-04-26,63755.32031,64789.65625,63322.39844,64485.37109,24139372950
2024-04-27,63419.14063,63898.36328,62424.71875,63750.98828,19530783039
2024-04-28,63113.23047,64321.48438,62793.59766,63423.51563,17334827993
2024-04-29,63841.12109,64174.87891,61795.45703,63106.36328,26635912073
2024-04-30,60636.85547,64703.33203,59120.06641,63839.41797,37840840057
2024-05-01,58254.01172,60780.5,56555.29297,60609.49609,48439780271
2024-05-02,59123.43359,59602.29688,56937.20313,58253.70313,32711813559
2024-05-03,62889.83594,63320.50391,58848.3125,59122.30078,33172023048
2024-05-04,63891.47266,64494.95703,62599.35156,62891.03125,20620477992
2024-05-05,64031.13281,64610.89063,62955.30469,63892.45313,18296164805
2024-05-06,63161.94922,65494.90234,62746.23828,64038.3125,28697928697
2024-05-07,62334.81641,64390.45703,62285.98047,63162.76172,25930730982
2024-05-08,61187.94141,62986.08594,60877.12891,62332.64063,26088172222
2024-05-09,63049.96094,63404.91406,60648.07422,61191.19922,25453338161
2024-05-10,60792.77734,63446.74219,60208.78125,63055.19141,27804954694
2024-05-11,60793.71094,61451.15234,60492.625,60793.35547,13842272968
2024-05-12,61448.39453,61818.15625,60632.60156,60793.50391,13800459405
2024-05-13,62901.44922,63422.66016,60769.83984,61451.21875,27889181179
2024-05-14,61552.78906,63092.125,61123.76563,62900.77344,28186271527
2024-05-15,66267.49219,66454.45313,61330.41016,61553.98828,39815167074
2024-05-16,65231.58203,66712.42969,64613.05469,66256.10938,31573077994
2024-05-17,67051.875,67459.46094,65119.31641,65231.29688,28031279310
2024-05-18,66940.80469,67387.32813,66663.5,67066.21094,16712277406
2024-05-19,66278.36719,67694.29688,65937.17969,66937.92969,19249094538
2024-05-20,71448.19531,71483.5625,66086.17188,66278.74219,43850655717
2024-05-21,70136.53125,71946.46094,69191.125,71443.0625,46932005990
2024-05-22,69122.33594,70623.69531,68977.69531,70135.32031,32802561717
2024-05-23,67929.5625,70041.27344,66356.95313,69121.30469,41895680979
2024-05-24,68526.10156,69220.29688,66622.67188,67928.13281,29197308153
2024-05-25,69265.94531,69579.32031,68515.82031,68526.92188,15473071741
2024-05-26,68518.09375,69506.22656,68183.89063,69264.28906,15628433737
2024-05-27,69394.55469,70597.88281,68232.5,68512.17969,25870990717
